Puesto,Nombre,Trofeos,Donaciones,Rol
#9,['三十五大叔'],['6295'],['128'],['Veterano']
#10,['Beezy'],['6248'],['226'],['Colíder']
#11,['RautenMiro'],['6244'],['160'],['Veterano']
#12,['Heart Boy™'],['6238'],['849'],['Veterano']
#13,['用心挑战可爱对手'],['6201'],['296'],['Líder']
#14,['Eater'],['6162'],['0'],['Veterano']
#15,['熊猫'],['6133'],['1050'],['Veterano']
#16,['kzq'],['6110'],['45'],['Veterano']
#17,['下雨天'],['6106'],['640'],['Veterano']
#18,['arktomson'],['6097'],['0'],['Colíder']
#19,['没有举报就没有伤害'],['6011'],['420'],['Veterano']
#20,['催眠小明'],['6004'],['233'],['Veterano']
#21,['Taj'],['5971'],['0'],['Miembro']
#22,['部落丨银色夜舞航空'],['5955'],['0'],['Colíder']
#23,['big'],['5952'],['0'],['Veterano']
#24,['Kevin LIU'],['5935'],['70'],['Colíder']
#25,['yaiba'],['5922'],['0'],['Miembro']
#26,['Avis88'],['5880'],['116'],['Colíder']
#27,['Fish'],['5865'],['38'],['Veterano']
#28,"[""LEE'S CASTLE""]",['5842'],['274'],['Veterano']
#29,['霍金斯'],['5837'],['0'],['Veterano']
#30,['꧁༺两见钟情༻꧂'],['5822'],['407'],['Veterano']
#31,['笑傲江湖'],['5819'],['353'],['Veterano']
#32,['SloveNtz'],['5756'],['78'],['Veterano']
#33,['小豹'],['5717'],['100'],['Veterano']
#34,['neo'],['5651'],['18'],['Colíder']
#35,['Joe'],['5610'],['469'],['Colíder']
#36,['就愛海尼根'],['5609'],['21'],['Veterano']
#37,['我们不一样。'],['5578'],['0'],['Miembro']
#38,['韩寒寒'],['5572'],['295'],['Veterano']
#39,['殿下'],['5540'],['0'],['Veterano']
#40,['Cytus I NEKO'],['5525'],['0'],['Miembro']
#41,['Nick'],['5507'],['0'],['Veterano']
#42,['pengpengcrab'],['5479'],['831'],['Veterano']
#43,['踏雪寻梅'],['5434'],['0'],['Veterano']
#44,['Zangado'],['5376'],['0'],['Veterano']
#45,['moon'],['5295'],['445'],['Veterano']
#46,['超级战皇S'],['5211'],['124'],['Veterano']
#47,['就问对面慌不慌'],['5200'],['0'],['Miembro']
#48,['♥︎SS♥︎'],['5056'],['1205'],['Colíder']
