Puesto,Nombre,Trofeos,Donaciones,Rol
#44,['mini-carpi'],['4319'],['0'],['Miembro']
#1,['WOLF98 KILLER X'],['6479'],['0'],['Colíder']
#2,['Juho'],['6197'],['0'],['Miembro']
#3,['bazaar'],['6194'],['18'],['Miembro']
#4,['GodIña™️'],['6169'],['928'],['Veterano']
#5,['dani3le'],['6139'],['232'],['Veterano']
#6,['Pepiña™'],['6129'],['191'],['Líder']
#7,['nessuno'],['6123'],['98'],['Colíder']
#8,['Black'],['6118'],['0'],['Colíder']
#9,['Nova I Haze哈则™'],['6030'],['0'],['Miembro']
#10,['Simo96'],['6008'],['741'],['Colíder']
#11,['Ricky™'],['5910'],['470'],['Colíder']
#12,['Jody'],['5904'],['784'],['Colíder']
#13,['~Lorenzo~'],['5865'],['40'],['Miembro']
#14,['SerIña™'],['5842'],['10'],['Colíder']
#15,['Re:ゼロから始める異世界生活'],['5839'],['520'],['Miembro']
#16,['JaK'],['5815'],['0'],['Colíder']
#17,['Blasphemer'],['5804'],['60'],['Colíder']
#18,['xRejin'],['5802'],['0'],['Veterano']
#19,['LyNyRd SkYnYrD'],['5770'],['140'],['Veterano']
#20,['ManoPro™'],['5711'],['490'],['Colíder']
#21,['Gianlu⚜️Matte™'],['5688'],['0'],['Colíder']
#22,['POTENT ™'],['5678'],['30'],['Veterano']
#23,['Lore'],['5673'],['230'],['Colíder']
#24,['Zero'],['5665'],['226'],['Veterano']
#25,['Pablo⚡️Escobar'],['5664'],['517'],['Miembro']
#26,['GATTA'],['5650'],['1194'],['Colíder']
#27,"['[email\xa0protected]', '笑一笑']",['5635'],['17'],['Veterano']
#28,['Solo☠Igna'],['5633'],['20'],['Miembro']
#29,['Fosters™'],['5618'],['84'],['Colíder']
#30,['Cheiz'],['5606'],['85'],['Miembro']
#31,['⚜️Marco⚜️'],['5600'],['273'],['Colíder']
#32,['Tommi 00'],['5575'],['254'],['Miembro']
#33,['HUNT3R'],['5560'],['0'],['Colíder']
#34,['vladyslav'],['5558'],['986'],['Veterano']
#35,['SantoIsGod'],['5548'],['50'],['Colíder']
#36,['Dark Angel'],['5526'],['30'],['Miembro']
#37,['Davy_02'],['5522'],['812'],['Veterano']
#38,['Sam'],['5520'],['936'],['Veterano']
#39,['Joker'],['5509'],['20'],['Veterano']
#40,['DEADPOOL89'],['5502'],['336'],['Miembro']
#41,['AKdre✴'],['5500'],['0'],['Colíder']
#42,['AtraX_Agent018⚒'],['5499'],['40'],['Veterano']
#43,['iAmSerIña™'],['5460'],['60'],['Colíder']
#44,['LadyGaga♥Ely'],['5459'],['161'],['Colíder']
#45,"[""ALEN'""]",['5457'],['429'],['Veterano']
#46,['IgnaIsGod™️'],['5451'],['78'],['Veterano']
#47,['Desert Fox™'],['5426'],['120'],['Colíder']
#1,['OhDlanyer'],['6201'],['0'],['Veterano']
#2,['FanDeJuL'],['6107'],['565'],['Veterano']
#3,['ExentyPulse'],['6015'],['416'],['Colíder']
#4,['Light Pollux YT'],['6006'],['340'],['Colíder']
#5,['AlmightyEman'],['5936'],['784'],['Colíder']
#6,['☮️: SniPaZzZ™⚜️'],['5911'],['551'],['Veterano']
#7,['GC'],['5860'],['56'],['Veterano']
#8,['golden king'],['5848'],['0'],['Veterano']
#9,['Jorge'],['5805'],['18'],['Veterano']
#10,['Sao.包青年'],['5800'],['18'],['Veterano']
#11,['Doxir'],['5799'],['991'],['Líder']
#12,['Zane'],['5769'],['266'],['Colíder']
#13,['MickHS'],['5745'],['18'],['Miembro']
#14,['AquaStars'],['5716'],['73'],['Veterano']
#15,['~Mr Dream~™'],['5712'],['80'],['Colíder']
#16,['Hatepool'],['5700'],['0'],['Colíder']
#17,['⚜️Eminence⚜️'],['5669'],['874'],['Veterano']
#18,['José paz ✌'],['5634'],['264'],['Veterano']
#19,['masteryoshi1'],['5595'],['288'],['Veterano']
#20,['Jonathan'],['5575'],['98'],['Veterano']
#21,['mieko'],['5537'],['130'],['Veterano']
#22,['Majo'],['5534'],['58'],['Veterano']
#23,['ardalan'],['5521'],['518'],['Veterano']
#24,['Turbo'],['5520'],['617'],['Veterano']
#25,['Jmie'],['5519'],['402'],['Veterano']
#26,['Machine87'],['5515'],['462'],['Veterano']
#27,['LgS'],['5514'],['900'],['Colíder']
#28,['☆Nova I Grey☆'],['5500'],['28'],['Veterano']
#29,['Benji Unicorn'],['5479'],['136'],['Veterano']
#30,['Hansel & Gretel'],['5443'],['30'],['Colíder']
#31,['otis'],['5441'],['457'],['Colíder']
#32,['☆T į G ę R☆'],['5433'],['0'],['Miembro']
#33,['⚜Jess⚜'],['5431'],['128'],['Veterano']
#34,['⚡️Lynn⚡️™'],['5431'],['10'],['Veterano']
#35,['ruiner!'],['5425'],['844'],['Veterano']
#36,['lucas'],['5425'],['176'],['Veterano']
#37,['Kydsongz'],['5424'],['424'],['Veterano']
#38,['mystogan'],['5417'],['48'],['Veterano']
#39,['JeanMichelAulas'],['5410'],['174'],['Veterano']
#40,['DoMiNoS'],['5405'],['208'],['Veterano']
#41,['puss'],['5399'],['0'],['Miembro']
#42,['Diesel Light'],['5391'],['78'],['Veterano']
#43,['Sublyu'],['5363'],['209'],['Veterano']
#44,['P-L'],['5336'],['211'],['Veterano']
#45,['Summerside'],['5323'],['71'],['Veterano']
#46,['Vinok'],['5317'],['411'],['Colíder']
#47,['FrankQc'],['5313'],['336'],['Colíder']
#48,['sauterelle'],['5092'],['0'],['Colíder']
#49,['knight José 13'],['4129'],['40'],['Miembro']
#1,['nima_bluesky'],['6340'],['88'],['Líder']
#2,['KING'],['6257'],['0'],['Veterano']
#3,['rampage-m'],['6205'],['784'],['Colíder']
#4,['FIRTINA'],['6188'],['8'],['Colíder']
#5,['恩基爱刀锋山版主'],['6162'],['396'],['Colíder']
#6,['✌MONSTER✌'],['6136'],['244'],['Colíder']
#7,['BaNoOo.SoHa'],['6127'],['8'],['Colíder']
#8,['reza'],['6110'],['20'],['Colíder']
#9,['SHEREK'],['6102'],['0'],['Colíder']
#10,['xyk的打手'],['6081'],['18'],['Miembro']
#11,['PEZHMAN〽️'],['6011'],['36'],['Veterano']
#12,['king reza'],['5919'],['1398'],['Veterano']
#13,['AlirezaM'],['5871'],['50'],['Veterano']
#14,['esmaeel.m'],['5829'],['36'],['Colíder']
#15,['mohsen'],['5752'],['0'],['Colíder']
#16,['たくぼん'],['5704'],['0'],['Miembro']
#17,['KAMRAN.H'],['5690'],['582'],['Veterano']
#18,['Ebi'],['5658'],['456'],['Veterano']
#19,['Killer'],['5631'],['176'],['Miembro']
#20,['هادی'],['5628'],['810'],['Veterano']
#21,['emad.iz'],['5618'],['232'],['Miembro']
#22,['poriya71'],['5614'],['184'],['Veterano']
#23,['Criistiian_Ch'],['5569'],['152'],['Miembro']
#24,['♣KingSina♣'],['5564'],['38'],['Colíder']
#25,['arash'],['5561'],['1076'],['Miembro']
#26,['mohammad reza'],['5546'],['269'],['Veterano']
#27,['IMANDARK'],['5525'],['265'],['Veterano']
#28,['Milad_kh'],['5521'],['0'],['Colíder']
#29,['shahbaz'],['5518'],['306'],['Veterano']
#30,['SirWilliam'],['5513'],['732'],['Veterano']
#31,['Яσⓑɨŋ みσσの'],['5510'],['860'],['Colíder']
#32,['Elena'],['5502'],['220'],['Veterano']
#33,['Ripper'],['5437'],['62'],['Miembro']
#34,['Reza ^-^'],['5425'],['124'],['Veterano']
#35,['EldeRado'],['5397'],['1176'],['Miembro']
#36,['Saeed a'],['5384'],['898'],['Miembro']
#37,['mohamad_tato'],['5335'],['537'],['Veterano']
#38,['سعید'],['5333'],['243'],['Veterano']
#39,['bEhRaD'],['5319'],['766'],['Veterano']
#40,['tigger'],['5316'],['171'],['Veterano']
#41,['~FuRy~'],['5313'],['1356'],['Miembro']
#42,['Mr.wang-zy'],['5306'],['10'],['Miembro']
#43,['milad777'],['5291'],['777'],['Veterano']
#44,['Alireza Cj'],['5278'],['54'],['Veterano']
#45,['Elijah'],['5277'],['270'],['Veterano']
#46,['Mehdiiii'],['5258'],['544'],['Miembro']
#47,['golem'],['5246'],['150'],['Colíder']
#48,['Cyrus'],['5239'],['48'],['Miembro']
#49,['*RrEEzA*'],['5230'],['64'],['Miembro']
#50,['wolf masi'],['5206'],['0'],['Veterano']
#1,['£MP£R∆DOR'],['6421'],['0'],['Colíder']
#2,['PowdaOwns'],['6421'],['10'],['Colíder']
#3,['ManuelBlvck'],['6333'],['30'],['Colíder']
#4,['chequio'],['6202'],['10'],['Veterano']
#5,['Goyo'],['6189'],['296'],['Colíder']
#6,['Esteban'],['6172'],['0'],['Colíder']
#7,['xRDx_moises_xRD'],['6168'],['90'],['Veterano']
#8,['Jonathan18'],['6125'],['136'],['Veterano']
#9,['Jozé'],['6117'],['348'],['Veterano']
#10,['❌ZETA❌'],['6105'],['0'],['Colíder']
#11,['I.I.A.C'],['6099'],['70'],['Veterano']
#12,['J O H A N'],['6064'],['30'],['Colíder']
#13,['Surgical Goblin'],['6060'],['0'],['Colíder']
#14,['DiegoB'],['6021'],['10'],['Colíder']
#15,['rodri'],['6011'],['364'],['Veterano']
#16,['Aner'],['6009'],['0'],['Colíder']
#17,['♦Allbert♦'],['6005'],['108'],['Colíder']
#18,['Greksx~YT'],['5967'],['0'],['Veterano']
#19,['Dragonnit'],['5959'],['0'],['Colíder']
#20,['D A N I E L ~ B'],['5948'],['106'],['Colíder']
#21,['wolf'],['5928'],['0'],['Veterano']
#22,['⚡<<Oswaldo>>⚡'],['5905'],['0'],['Veterano']
#23,['^_^Mc^_^'],['5850'],['0'],['Miembro']
#24,['Hola Soy Pancho'],['5846'],['60'],['Colíder']
#25,['jeffrin'],['5814'],['0'],['Colíder']
#26,['Esaú Alva.'],['5813'],['826'],['Líder']
#27,['□■VenSubete》》☠'],['5811'],['454'],['Veterano']
#28,['Migueliwis™'],['5807'],['436'],['Veterano']
#29,['luis 2'],['5774'],['514'],['Colíder']
#30,['FixitralphYT'],['5766'],['0'],['Veterano']
#31,['ItsZairTM'],['5755'],['10'],['Veterano']
#32,['jose∆™'],['5702'],['426'],['Veterano']
#33,['crriss'],['5653'],['686'],['Miembro']
#34,['Minotauro'],['5648'],['764'],['Veterano']
#35,['Theend>:D'],['5641'],['10'],['Miembro']
#36,['✌Lalo Liera✊'],['5636'],['20'],['Veterano']
#37,['☆~PAIN~☆'],['5635'],['0'],['Veterano']
#38,['DoCtOpS'],['5619'],['253'],['Miembro']
#39,['daniel+123'],['5599'],['156'],['Miembro']
#40,['Josue M.Montes'],['5581'],['368'],['Miembro']
#41,['⚡Yisus⚡'],['5552'],['30'],['Veterano']
#42,['The Master™'],['5524'],['20'],['Miembro']
#43,['Chore'],['5519'],['58'],['Miembro']
#44,['SteveMaister'],['5510'],['560'],['Colíder']
#45,['Gste cr YT'],['5504'],['10'],['Colíder']
#1,['볼러'],['6490'],['86'],['Miembro']
#2,['FaceControl'],['6409'],['50'],['Veterano']
#3,['Sashenka'],['6264'],['296'],['Veterano']
#4,['yusa'],['6152'],['452'],['Miembro']
#5,['АртемАВ'],['6143'],['571'],['Veterano']
#6,['lkornilov'],['6128'],['333'],['Veterano']
#7,['phys1x.Egor'],['6118'],['10'],['Veterano']
#8,['yogyrt'],['6118'],['107'],['Colíder']
#9,['Марусик'],['6111'],['794'],['Líder']
#10,['ikuller'],['6106'],['91'],['Miembro']
#11,['$Никита$'],['6053'],['0'],['Veterano']
#12,['L_E_V_I⭐️'],['6018'],['1'],['Veterano']
#13,['khaled'],['5931'],['20'],['Colíder']
#14,['tyky14'],['5897'],['392'],['Veterano']
#15,['Killer X-Bo360'],['5826'],['879'],['Veterano']
#16,['svn77'],['5807'],['220'],['Veterano']
#17,['лопух'],['5802'],['188'],['Veterano']
#18,['Ментос'],['5801'],['86'],['Miembro']
#19,['Destroyer'],['5800'],['58'],['Veterano']
#20,['dAimoNNN'],['5741'],['50'],['Veterano']
#21,['maestro'],['5728'],['260'],['Veterano']
#22,['[ BK ] Evan E.S'],['5727'],['0'],['Miembro']
#23,['☣✅New Clasher!☣'],['5662'],['735'],['Veterano']
#24,['Hardenne'],['5625'],['910'],['Veterano']
#25,['Димка'],['5618'],['0'],['Miembro']
#26,['☆Ąłłąhų Ąķbąř☆'],['5602'],['0'],['Miembro']
#27,['TYLLIOHKA'],['5569'],['180'],['Miembro']
#28,['Frai'],['5569'],['587'],['Veterano']
#29,['alexander'],['5561'],['1251'],['Veterano']
#30,['poNNNNNNt'],['5532'],['0'],['Miembro']
#31,['Xiagir'],['5518'],['66'],['Veterano']
#32,['Nektar'],['5516'],['20'],['Miembro']
#33,['Nova I DanilT'],['5505'],['0'],['Miembro']
#34,['Egor'],['5452'],['0'],['Miembro']
#35,['⭐️DONN I NI⭐️'],['5415'],['129'],['Veterano']
#36,['Ricardo'],['5399'],['590'],['Veterano']
#37,['Вадим'],['5383'],['110'],['Veterano']
#38,['WINchester'],['5335'],['0'],['Veterano']
#39,['Chep'],['5318'],['352'],['Veterano']
#40,['jamba'],['5292'],['136'],['Veterano']
#41,['コカ•コーラ'],['5272'],['90'],['Veterano']
#42,['vet'],['5223'],['958'],['Veterano']
#43,['わんおく'],['5207'],['0'],['Veterano']
#44,['Leymoy'],['5069'],['137'],['Veterano']
#45,['Sadji'],['4926'],['191'],['Colíder']
#46,['master'],['4920'],['0'],['Veterano']
#47,['BAJIEPb9IHKA'],['4909'],['0'],['Veterano']
#48,['BB'],['4752'],['40'],['Veterano']
#1,['Efemgg'],['6666'],['0'],['Colíder']
#2,['Eymen'],['6414'],['0'],['Veterano']
#3,['C⭐~ARİF~C⭐'],['6333'],['144'],['Colíder']
#4,['Uluç'],['6314'],['0'],['Colíder']
#5,['metalbond™'],['6311'],['556'],['Líder']
#6,['ymgo-53'],['6295'],['0'],['Miembro']
#7,['Nova DaRKNigHT'],['6203'],['0'],['Veterano']
#8,['PaTaKoZ'],['6018'],['432'],['Colíder']
#9,['BaDdOg'],['6010'],['350'],['Veterano']
#10,['AGLR'],['6009'],['20'],['Colíder']
#11,['Burak'],['6003'],['180'],['Colíder']
#12,['C.O.D HAKAN'],['5956'],['814'],['Colíder']
#13,['arda0909'],['5899'],['20'],['Veterano']
#14,['KRDG'],['5857'],['574'],['Veterano']
#15,['Nameofdevils'],['5849'],['26'],['Veterano']
#16,['NuriReyiz42'],['5838'],['1168'],['Colíder']
#17,['AZZ'],['5822'],['84'],['Colíder']
#18,['feritcem'],['5808'],['0'],['Miembro']
#19,['#BURAK'],['5774'],['114'],['Colíder']
#20,['SILAH'],['5759'],['92'],['Veterano']
#21,['ØKYANU§'],['5756'],['48'],['Veterano']
#22,['O N D E R™️'],['5755'],['494'],['Colíder']
#23,['RoyalWithOnur'],['5721'],['579'],['Colíder']
#24,['smash'],['5697'],['30'],['Veterano']
#25,['ジラフ'],['5688'],['31'],['Miembro']
#26,['Kemal Paşa'],['5629'],['236'],['Veterano']
#27,['☆ptu☆'],['5611'],['252'],['Miembro']
#28,['~TAHA~'],['5605'],['10'],['Miembro']
#29,['⚡FENERBAHÇE SK⚡'],['5597'],['1046'],['Veterano']
#30,['phar'],['5597'],['616'],['Veterano']
#31,['HakPerest'],['5577'],['510'],['Colíder']
#32,['Izzy1453'],['5541'],['689'],['Veterano']
#33,['< BatuhaN >'],['5531'],['270'],['Colíder']
#34,['모블리'],['5509'],['228'],['Miembro']
#35,['Burak'],['5501'],['126'],['Veterano']
#36,['BEYAZIT'],['5495'],['84'],['Colíder']
#37,['Kurt'],['5416'],['0'],['Colíder']
#38,['Artkey'],['5387'],['0'],['Miembro']
#39,['Xx-ProFurkan-Xx'],['5355'],['60'],['Miembro']
#40,[':*-_.Emre._-*:'],['5277'],['0'],['Veterano']
#41,['BigBoss'],['5276'],['0'],['Colíder']
#42,['Fevzi 4268'],['5211'],['0'],['Miembro']
#43,['hidayet baba'],['5203'],['278'],['Miembro']
#44,['GençAslan:)'],['5175'],['18'],['Colíder']
#45,['SİLAH'],['3805'],['0'],['Miembro']
#1,['MidFinger'],['6802'],['20'],['Líder']
#2,['kyrios'],['6747'],['250'],['Colíder']
#3,['Pedro S.E.P'],['6705'],['0'],['Miembro']
#4,['love'],['6705'],['38'],['Colíder']
#5,['Bilal Palestina'],['6630'],['0'],['Colíder']
#6,['خـالـد الـظاهري'],['6616'],['0'],['Colíder']
#7,['Stormy'],['6501'],['314'],['Colíder']
#8,['Mr Jako'],['6426'],['154'],['Colíder']
#9,['kyrios✨'],['6277'],['38'],['Colíder']
#10,['한국문화유산'],['6107'],['428'],['Colíder']
#11,['i will beat you'],['6014'],['254'],['Colíder']
#12,['¥DimaK¥'],['5960'],['18'],['Miembro']
#13,['Nova I sencer✨'],['5802'],['48'],['Colíder']
#14,['UAE'],['5462'],['0'],['Veterano']
#15,['great warrior'],['5434'],['0'],['Veterano']
#16,['TinapaY MasakeR'],['5366'],['0'],['Veterano']
#17,['Location'],['5362'],['452'],['Colíder']
#18,['Donaldo⚓'],['5310'],['166'],['Miembro']
#19,['dahoom'],['5306'],['138'],['Colíder']
#20,['⚡Psychø⚡'],['5295'],['354'],['Veterano']
#21,['Ferrari'],['5209'],['628'],['Colíder']
#22,['Sporty001'],['5132'],['488'],['Colíder']
#23,['Kira'],['5121'],['1088'],['Colíder']
#24,['HardcoreDennis'],['5104'],['174'],['Veterano']
#25,['Caesar'],['5070'],['378'],['Colíder']
#26,['Caesar'],['5042'],['110'],['Colíder']
#27,['Nova l Farzad'],['5018'],['224'],['Veterano']
#28,['D_dash'],['5001'],['838'],['Colíder']
#29,['Badar'],['4939'],['80'],['Veterano']
#30,['Nova I Pipe™'],['4932'],['80'],['Veterano']
#31,[':3 Edisson :3'],['4927'],['58'],['Miembro']
#32,['Darkevil'],['4918'],['0'],['Veterano']
#33,['Sanjey'],['4913'],['71'],['Veterano']
#34,['CHRISTIAN'],['4900'],['460'],['Veterano']
#35,['무적의 로얄'],['4769'],['688'],['Veterano']
#36,['jey by'],['4703'],['343'],['Veterano']
#37,['Rayan™'],['4676'],['334'],['Colíder']
#38,['yanirking24'],['4660'],['276'],['Miembro']
#39,['bjb_0'],['4538'],['280'],['Colíder']
#40,['Mini Nico'],['4506'],['516'],['Miembro']
#41,['Kyri0s'],['4498'],['116'],['Colíder']
#42,['xWeakness'],['4431'],['70'],['Miembro']
#43,['TheCrystalZ'],['4411'],['116'],['Veterano']
#44,['AquaticMonkey'],['4374'],['404'],['Colíder']
#45,['kolozo'],['4339'],['0'],['Miembro']
#46,['Njo1va'],['4315'],['166'],['Miembro']
#1,['lexi'],['6548'],['93'],['Veterano']
#2,['Wings'],['6517'],['670'],['Miembro']
#3,['ライキジョーンズ'],['6271'],['695'],['Veterano']
#4,['神速'],['6229'],['130'],['Veterano']
#5,['堀北真希@本人'],['6187'],['331'],['Veterano']
#6,['裕二'],['6154'],['984'],['Veterano']
#7,['ゆまチャミ'],['6150'],['342'],['Colíder']
#8,['すけ'],['6108'],['40'],['Veterano']
#9,['NATYO'],['6107'],['380'],['Veterano']
#10,['みのまる@タワーは飾り'],['5910'],['208'],['Veterano']
#11,['あふた〜'],['5888'],['491'],['Colíder']
#12,['フチ'],['5861'],['1104'],['Líder']
#13,['shinichi'],['5843'],['44'],['Veterano']
#14,['%あ.27%'],['5823'],['562'],['Colíder']
#15,['kota'],['5817'],['328'],['Colíder']
#16,['ニードリク'],['5807'],['40'],['Colíder']
#17,['スケベ太郎'],['5804'],['702'],['Veterano']
#18,['kengo'],['5774'],['405'],['Veterano']
#19,['タンパミン'],['5772'],['0'],['Veterano']
#20,['作戦？は？しらね「あっつん」'],['5751'],['0'],['Veterano']
#21,['いっちゃ'],['5701'],['404'],['Veterano']
#22,['HANZO'],['5689'],['532'],['Veterano']
#23,['EGOIST_GC'],['5673'],['20'],['Colíder']
#24,['Nisshin'],['5652'],['302'],['Veterano']
#25,['おこめちん'],['5573'],['476'],['Veterano']
#26,['Niggon'],['5546'],['0'],['Veterano']
#27,['キタ☆ダロー'],['5521'],['20'],['Veterano']
#28,['ナオ'],['5518'],['190'],['Veterano']
#29,['ハンコック'],['5509'],['204'],['Veterano']
#30,['スティーブン'],['5480'],['353'],['Veterano']
#31,['JagerJun1'],['5464'],['99'],['Colíder']
#32,['アリス'],['5418'],['456'],['Veterano']
#33,['Alexander'],['5418'],['226'],['Veterano']
#34,['WOLF KOUME'],['5412'],['76'],['Veterano']
#35,['routo'],['5376'],['20'],['Veterano']
#36,['りんごそば@クラロワ徹底攻略'],['5375'],['20'],['Colíder']
#37,['かつお'],['5330'],['100'],['Veterano']
#38,['【瞬】ほいほい【殺】'],['5301'],['174'],['Colíder']
#39,['Azx4'],['5251'],['206'],['Veterano']
#40,['みしかる'],['5217'],['239'],['Veterano']
#41,['HG＠tt'],['5203'],['67'],['Veterano']
#42,['ジンジャー'],['5116'],['313'],['Veterano']
#43,['リョウスケ'],['5078'],['290'],['Veterano']
#44,['MORIYAMA'],['4961'],['20'],['Veterano']
#45,['RYOCKY'],['4528'],['46'],['Miembro']
#1,['libinwei'],['6505'],['196'],['Veterano']
#2,['★星辰★'],['6426'],['122'],['Colíder']
#3,['小月月的打手'],['6411'],['10'],['Miembro']
#4,['薛涛'],['6408'],['40'],['Colíder']
#5,['foxes'],['6406'],['0'],['Líder']
#6,['肥平'],['6337'],['645'],['Veterano']
#7,['KOKO大尾巴狼'],['6151'],['20'],['Veterano']
#8,['[email\xa0protected]'],['6042'],['0'],['Miembro']
#9,['达蒙的椅子'],['6032'],['900'],['Veterano']
#10,['qj'],['6023'],['274'],['Colíder']
#11,['一叶'],['5981'],['146'],['Colíder']
#12,['Old driver丶老司机'],['5913'],['62'],['Miembro']
#13,['我要送一血'],['5836'],['186'],['Veterano']
#14,['飞天小帅'],['5818'],['86'],['Veterano']
#15,['薛涛老公'],['5815'],['669'],['Colíder']
#16,['xietiancai'],['5814'],['147'],['Veterano']
#17,['༺战༒狼༻'],['5777'],['912'],['Veterano']
#18,['Adam'],['5746'],['55'],['Veterano']
#19,['我最屎'],['5720'],['336'],['Veterano']
#20,['king的二号打手'],['5689'],['444'],['Veterano']
#21,['城公子'],['5609'],['268'],['Veterano']
#22,['newbie'],['5609'],['0'],['Miembro']
#23,['无所畏惧'],['5551'],['0'],['Miembro']
#24,['小月月'],['5517'],['98'],['Colíder']
#25,['华丽的挽歌'],['5508'],['0'],['Veterano']
#26,['潘小源'],['5503'],['50'],['Veterano']
#27,['Andrew'],['5501'],['1098'],['Veterano']
#28,['薛涛的打手'],['5501'],['570'],['Colíder']
#29,['GLACIER'],['5484'],['1053'],['Veterano']
#30,['魔术师丶K'],['5479'],['64'],['Veterano']
#31,['东哥'],['5444'],['170'],['Veterano']
#32,['Best'],['5366'],['244'],['Veterano']
#33,['kosame_zero'],['5358'],['0'],['Miembro']
#34,['VaRian'],['5343'],['365'],['Veterano']
#35,['空明'],['5342'],['64'],['Colíder']
#36,['大梦方觉晓'],['5339'],['68'],['Veterano']
#37,['金霸王'],['5300'],['750'],['Veterano']
#38,['范范'],['5240'],['90'],['Miembro']
#39,['pwm'],['5120'],['258'],['Veterano']
#40,"['[email\xa0protected]', '_是谁']",['5116'],['99'],['Veterano']
#41,['天刀九问'],['5085'],['190'],['Veterano']
#42,['黑鹰'],['5064'],['516'],['Veterano']
#43,['Pete Duo Liang'],['5054'],['174'],['Veterano']
#44,['cadillac'],['5052'],['0'],['Veterano']
#45,['闰土'],['5014'],['0'],['Veterano']
#46,['小红'],['4931'],['1461'],['Veterano']
#47,['ston'],['4809'],['214'],['Veterano']
#1,['Pietro'],['6008'],['180'],['Colíder']
#2,['Mattia'],['6004'],['60'],['Miembro']
#3,['Rohypnol®️'],['5942'],['218'],['Veterano']
#4,['ひーろ'],['5891'],['310'],['Veterano']
#5,['Giuseppe'],['5837'],['0'],['Miembro']
#6,['DRKSHDW'],['5830'],['240'],['Miembro']
#7,['DeMo7V BreeZe ◇'],['5829'],['812'],['Colíder']
#8,['Prime'],['5822'],['475'],['Miembro']
#9,['？！'],['5718'],['608'],['Veterano']
#10,['Frost'],['5699'],['621'],['Miembro']
#11,['KKsuitedKK'],['5695'],['114'],['Miembro']
#12,['Konfuzius'],['5690'],['0'],['Miembro']
#13,['Imhotep.™'],['5655'],['0'],['Veterano']
#14,['Dragon'],['5647'],['495'],['Veterano']
#15,['⭐️MATTEO⭐️'],['5604'],['10'],['Colíder']
#16,['Fede24 v2.0'],['5600'],['88'],['Miembro']
#17,['TigerJim'],['5591'],['401'],['Veterano']
#18,['Nize'],['5586'],['0'],['Miembro']
#19,['D3vil™'],['5578'],['169'],['Veterano']
#20,['Vins⚔️Monti'],['5540'],['8'],['Miembro']
#21,['RussianGuardian'],['5533'],['411'],['Veterano']
#22,['Teto'],['5516'],['252'],['Miembro']
#23,['Tri-pod'],['5515'],['754'],['Miembro']
#24,['Gusto_02'],['5513'],['1679'],['Miembro']
#25,['Cheiz'],['5512'],['450'],['Miembro']
#26,['White Light™'],['5499'],['130'],['Veterano']
#27,['.:oNeShot:.'],['5491'],['1042'],['Colíder']
#28,['Pascal'],['5431'],['540'],['Miembro']
#29,['King Spartan'],['5431'],['946'],['Veterano']
#30,['Slayfer'],['5413'],['0'],['Miembro']
#31,['Nigoz87'],['5406'],['508'],['Veterano']
#32,['Ahmed Loai'],['5405'],['486'],['Miembro']
#33,['ｍａｒｉｅｔｅ'],['5404'],['0'],['Miembro']
#34,['Deletepls'],['5363'],['316'],['Miembro']
#35,['Vins'],['5360'],['202'],['Miembro']
#36,['Seba'],['5354'],['1209'],['Miembro']
#37,['Matte2000'],['5353'],['140'],['Miembro']
#38,['Gunzolum™'],['5345'],['896'],['Colíder']
#39,['@glorialaro'],['5327'],['16'],['Miembro']
#40,['daviz'],['5326'],['180'],['Miembro']
#41,['SonGoKu'],['5318'],['168'],['Miembro']
#42,['桃花Andre the Mad'],['5311'],['20'],['Miembro']
#43,['ItzPauL'],['5307'],['794'],['Miembro']
#44,['AtraX_BlackW.⚔'],['5285'],['40'],['Miembro']
#45,['fede.9'],['5267'],['700'],['Miembro']
#46,['Tiziano'],['5228'],['307'],['Colíder']
#47,['CriGio'],['5182'],['590'],['Líder']
#48,['⚡ZEUS⚡'],['5173'],['0'],['Colíder']
#1,['Shadow'],['6706'],['106'],['Miembro']
#2,['Pedro S.E.P'],['6705'],['10'],['Miembro']
#3,['Sun Light'],['6318'],['50'],['Miembro']
#4,['Shr.Alex'],['6190'],['1306'],['Veterano']
#5,['bigJasp'],['6153'],['206'],['Miembro']
#6,['牛啊大哥'],['6151'],['206'],['Miembro']
#7,['mandara1988'],['6115'],['24'],['Miembro']
#8,['Luna™'],['6113'],['93'],['Veterano']
#9,['Sameem'],['6109'],['30'],['Miembro']
#10,['Rafael✌'],['6027'],['0'],['Miembro']
#11,['[email\xa0protected]'],['6011'],['0'],['Miembro']
#12,['Anthony Y'],['6005'],['382'],['Miembro']
#13,"['VINICIUS ""BR""']",['5981'],['0'],['Miembro']
#14,['Eddie Here'],['5928'],['20'],['Miembro']
#15,['Nova l Big Dini'],['5901'],['145'],['Veterano']
#16,['Miinero'],['5839'],['0'],['Miembro']
#17,['Will Dynamite'],['5836'],['814'],['Colíder']
#18,['The God Darkray'],['5829'],['244'],['Veterano']
#19,['Balbafox'],['5827'],['254'],['Veterano']
#20,['rafatey'],['5825'],['188'],['Miembro']
#21,['-ThumP-'],['5801'],['420'],['Veterano']
#22,['PHARAOH'],['5774'],['188'],['Colíder']
#23,['Nuts'],['5759'],['0'],['Miembro']
#24,['Elias Shiryu yt'],['5754'],['599'],['Veterano']
#25,['leco2016'],['5690'],['195'],['Miembro']
#26,['Kahey'],['5670'],['380'],['Miembro']
#27,['Nova l Tico™'],['5659'],['122'],['Miembro']
